muhatap_kodu,odeme_bicimi,vadesi_gecmis,ort_tahsilat_gun
M4134152,Kredi Kartı,0.0,0.0
M4126772,Kredi Kartı,0.0,29.14
M4126772,Havale,0.0,-5.0
M4134009,Kredi Kartı,0.0,0.0
M4133411,Kredi Kartı,0.0,0.0
M4133487,Kredi Kartı,0.0,0.0
M4134749,Kredi Kartı,0.0,0.0
M4133363,Kredi Kartı,0.0,-0.5
M4133470,Kredi Kartı,0.0,0.0
M4133480,Kredi Kartı,0.0,0.0
M4133657,Kredi Kartı,0.0,0.0
M4133699,Kredi Kartı,0.0,0.0
M4133725,Kredi Kartı,0.0,0.0
M4134581,Kredi Kartı,0.0,0.0
M4133673,Kredi Kartı,0.0,85.5
M4133482,Kredi Kartı,0.0,0.0
M4133965,Kredi Kartı,0.0,0.0
M4134774,Kredi Kartı,0.0,0.0
M4134914,Kredi Kartı,0.0,-2.0
M4133336,Kredi Kartı,0.0,0.0
M4133664,Kredi Kartı,0.0,0.0
M4133723,Kredi Kartı,0.0,0.0
M4134557,Kredi Kartı,0.0,0.0
M4134568,Kredi Kartı,0.0,0.0
M4134718,Kredi Kartı,0.0,0.0
M4133406,Kredi Kartı,0.0,0.0
M4134750,Kredi Kartı,0.0,0.0
M4133788,Kredi Kartı,0.0,0.0
M4133679,Kredi Kartı,0.0,0.0
M4133786,BELIRTILMEMIS,0.0,0.0
M4133786,Kredi Kartı,0.0,-0.4
M4133646,Kredi Kartı,0.0,0.0
M4133646,BELIRTILMEMIS,0.0,0.0
M4133467,Kredi Kartı,0.0,37.25
M4133467,Havale,0.0,0.0
M4133672,BELIRTILMEMIS,0.0,0.0
M4133672,Kredi Kartı,0.0,0.0
M4133672,Havale,0.0,0.0
M4134114,Kredi Kartı,0.0,0.0
M4133632,Kredi Kartı,0.0,0.0
M4133632,BELIRTILMEMIS,0.0,0.0
M4133941,Havale,0.0,98.0
M4133941,Kredi Kartı,0.0,63.9
M4134102,Kredi Kartı,0.0,0.0
M4133478,Kredi Kartı,0.0,0.0
M4125334,Kredi Kartı,0.0,0.0
M4125334,BELIRTILMEMIS,0.0,0.0
M4130233,Kredi Kartı,0.0,0.0
M4135990,Havale,0.0,0.0
M4136022,Kredi Kartı,0.0,0.0
M4136025,Kredi Kartı,0.0,0.0
M4136025,Havale,0.0,0.0
M4136316,BELIRTILMEMIS,0.0,0.0
M4135820,Havale,0.0,0.0
M4135820,Kredi Kartı,0.0,0.0
M4136092,Kredi Kartı,0.0,0.0
M4136100,Kredi Kartı,0.0,-2.0
M4136421,Kredi Kartı,0.0,0.0
M4136504,Havale,0.0,0.0
M4136361,Kredi Kartı,0.0,0.0
M4135821,Kredi Kartı,0.0,0.0
M4136545,Kredi Kartı,0.0,0.0
M4135868,Kredi Kartı,0.0,0.0
M4135868,Peşin,0.0,0.0
M4136002,Havale,0.0,0.0
M4135748,Kredi Kartı,0.0,0.0
M4135781,Kredi Kartı,0.0,0.0
M4135143,Havale,0.0,0.0
M4133748,Kredi Kartı,0.0,-0.25
M4136231,Kredi Kartı,0.0,-0.33
M4136231,Havale,0.0,0.0
M4136064,BELIRTILMEMIS,0.0,0.0
M4136064,Kredi Kartı,0.0,0.0
M4136502,Kredi Kartı,0.0,0.0
M4133936,Kredi Kartı,0.0,34.67
M4133936,Havale,0.0,0.0
M4135544,BELIRTILMEMIS,0.0,0.0
M4135544,Kredi Kartı,0.0,0.0
M4131200,Kredi Kartı,0.0,0.0
M4134981,Kredi Kartı,0.0,0.0
M4135480,Kredi Kartı,0.0,0.0
M4134971,Kredi Kartı,0.0,0.0
M4135325,Kredi Kartı,0.0,41.25
M4135124,Kredi Kartı,0.0,0.0
M4135429,BELIRTILMEMIS,0.0,7.0
M4135571,Kredi Kartı,0.0,13.5
M4131016,Kredi Kartı,0.0,-1.0
M4130965,Kredi Kartı,0.0,0.0
M4131233,Kredi Kartı,0.0,0.0
M4130929,Kredi Kartı,0.0,0.0
M4130936,Peşin,0.0,0.0
M4131156,Kredi Kartı,0.0,0.0
M4131194,Kredi Kartı,0.0,0.0
M4131320,Kredi Kartı,0.0,0.0
M4131135,Kredi Kartı,0.0,0.0
M4131147,Kredi Kartı,0.0,0.0
M4131179,Kredi Kartı,0.0,0.0
M4131144,Kredi Kartı,0.0,0.0
M4130945,Havale,0.0,0.0
M4130945,Kredi Kartı,0.0,0.0
M4130966,Kredi Kartı,0.0,0.0
M4131201,Kredi Kartı,0.0,0.0
M4131318,Kredi Kartı,0.0,0.0
M4130946,Kredi Kartı,0.0,0.0
M4131023,Kredi Kartı,0.0,0.0
M4131315,BELIRTILMEMIS,0.0,0.0
M4130993,Kredi Kartı,0.0,0.0
M4130994,Kredi Kartı,0.0,0.0
M4131008,Kredi Kartı,0.0,0.0
M4131134,Kredi Kartı,0.0,0.0
M4131172,Kredi Kartı,0.0,0.0
M4131157,Kredi Kartı,0.0,0.0
M4130995,Kredi Kartı,0.0,0.0
M4130995,BELIRTILMEMIS,0.0,0.0
M4130995,Havale,0.0,0.0
M4131018,Kredi Kartı,0.0,0.0
